Gallery Name,Gallery Address,Gallerist,Owner Name,Sales Price,Lot Size,Bldg Sq. Ft.,Land Value,Improvement Value,Total Assessed Value,Latitude,Longitude,Narrative,Narrative02,Narrative03,Narrative04,Gallery Image
Groundspace Project,"1427 E 4th Street #4, Los Angeles, CA 90033",,MUTUAL INVESTMENTS LLC,,26368,34632,430397,1165399,1595796,34.042242,-118.226462,,,,,
The Journal Gallery,"347 S Clarence Street, Los Angeles, CA 90033",,"LORENZINI,CAROLE J TRUST",168000,4359,4292,112875,17354,130229,34.043701,-118.224115,,,,,
UTA Artist Space,"670 S Anderson Street, Los Angeles, CA 90023",,"STOCKWELL,MARGARET C TRUST ETAL",476000,12906,12912,82819,48851,131670,34.036029,-118.222954,,,,,
Cloud Noir / Patrick McCarthy Gallery,"2918 Whittier Boulevard, Los Angeles, CA 90023",,"MCCARTHY,PATRICK F",242000,6478,6302,216383,91642,308025,34.030707,-118.208343,,,,,
FachaPatoto Studio and Gallery,"2000 E 1st Street, Los Angeles, CA 90033",,LADERA LLC,,8407,10680,360309,780676,1140985,34.045107,-118.214982,,,,,
The Wild Honey Studio,"2325 Jesse Street, Los Angeles, CA 90023",,"GLASS,EDDIE & SHIRLEY TR",,5140,4988,119423,137404,256827,34.036943,-118.222453,"Owners: Eddie and Shirley Glass. They’re homeowners in Mar Vista. Based on research for County-Recorder records & searches, they are not active property owners in Boyle Heights.",Their trust owns the property at 2325 Jesse Street.,"They are active residents and stakeholders on the Mar Vista Community Council and perhaps a strategy would be to shame them on how they, as privileged property/homeowners, they want a say & demand in their neighborhood, but ignore our pleas to kick all galleries out of the hood!",,
Anechoic Audio Mastering,"2185 E 7th Street, Los Angeles, CA 90023",,SEVENTH STREET WAREHOUSE PARTNERSHIP,3500035,12303,2610,320139,141821,461960,34.034893,-118.225421,"Managed & represented by Craig B. Cooper who is an attorney (his offices are at 11444 W Olympic Blvd Fl 10 Los Angeles, CA 90064; where most of the LLC, including Seventh Street is addressed to) that represents other LLCs and a rather large company called “The Wonderful Company LLC”.","Craig represents ventures & companies that are majority owned by billionaires Lynda Resnick and Stewart Resnick, who also happen to be owners of alot of farm land, FIJI Water, and POM drinks","https://www.corporationwiki.com/California/Los-Angeles/seventh-street-warehouse-llc/47531381.aspx Visually see how Seventh Street Warehouse LLC is a side venture from Lynda and Stewart - they’re products claim to help the world, but it’s pretty obvious they’re also opportunistic real estate developers.",They do not appear to be active BH owners; do not own any other properties in BH,
Parrasch Heijnen Gallery,"1326 S Boyle Avenue, Los Angeles, CA 90023",,WALLINGFORD INVESTORS,108500,6999,4040,131696,25313,157009,34.025528,-118.220608,"Owners: Wallingford Investors, in care of, a trust. Trust is named with Sheldon Appel, Carol Appel, Erwin Appel, and Essie Appel. Erwin and Essie appear to be a married couple (like parents of Sheldon and Carol) Wallingford Investors is the front corporation, that’s represented by a developer/property manager, Jerrold S. Felsenthal","Erwin and Essie also own another Boyle Heights property at 1501 S. Rio Vista - across the street from the upcoming Sears Tower live/work unit project. They own properties in the Arts District at 2224 Damon Street, 2344 E. 8th Street, 2338 E 8th St.","Additional, documented transactions involving Erwin & Essie that illustrate their gross amount of wealth here, here, here, and here (this one, in particular, they developed two condos in gentrifying Venice in 2013)",A particular gross example is a deal where they sold a warehouse building in the Arts District (520 S. Mateo) in 2016 for $24 million dollars and they sold it to a developer that plans to build this shit.,
Royal Rehearsal Space,"1946 E 1st Street, Los Angeles, CA 90023",,"BIRMAN,HECTOR",,7588,4487,275963,110389,386352,34.045625,-118.216121,,,,,
Little Big Man Gallery,"1427 E 4th Street #2, Los Angeles, CA 90033",Nick Haymes,MUTUAL INVESTMENTS LLC,,26368,34632,430397,1165399,1595796,34.042242,-118.226462,"50% of it seems to be long to Mutual Investments, LLC (link to CorporationWiki page) - the LLC is managed by a real estate attorney, Edward Friedman, and the LLC partially represented by Esther Korman. Nathan Korman was a former manager of the LLC, but their name has since been removed.","50% of it also belongs to Jakob Lowinger, Rachel Lowinger (likely parents/relatives). All of the above, seem to be related as relatives sharing past names and appearing together in searches.",Nathan Korman is a notable slumlord and there is an L.A. Times article on how a child was injured in an apartment building that Nathan owns/owned. Nathan was also highlighted for buying a commercial building in Downtown L.A. and for evicting artists in a 2001 article.,"Nathan Korman, according the web illustration from CorporationWiki, owns MANY other properties in Los Angeles, primarily, residential buildings. Nathan’s business offices are at 550 N Larchmont Blvd #203 Los Angeles, CA 90004",
Self Help Graphics,"1300 E 1st Street, Los Angeles, CA 90033",Joel Garcia,SELF-HELP GRAPHICS & ART INC,3625000,5081,5200,94562,,94562,34.047338,-118.226184,"On Saturday, July 2, Defend Boyle Heights (DBH) led an action to temporarily disrupt a public event hosted by the 40-year old Chicanx artist nonprofit Self Help Graphics & Art (SHG). The event was supposed to be a community meeting to discuss the role artists play in gentrification in Los Angeles, and particularly in Boyle Heights. However, since the beginning of the meeting, thanks to our supporters in the audience who sent us pictures, videos and notes on what SHG staff were saying, the community dialogue was already painting the artist and therefore the galleries free of culpability.","At approximately 4 P.M., DBH led a group of 30-to-40 people, which included several long-time residents of the community and members of Union de Vecinos, Ovarian Psycos, Serve the People – Los Angeles, East Los Angeles Brown Berets and the Backyard Brigade, into the SHG building. We flanked both sides of the stage where SHG staff were addressing a crowd of approximately 45 people. We chanted “El barrio no se vende! Boyle Heights se defiende!” as we held signs denouncing gentrification and in particular the role that SHG and others have played in being complicit with gentrification. One of our members took the mic from an SHG staff person and a couple of residents from the Pico Gardens Projects denounced the art galleries moving into the neighborhood irrespective of the rent-increases, evictions and overall redevelopment that accompany them. They spoke about the community’s need for actual authentic affordable housing and sustainable jobs, and that the community doesn’t need any more art galleries, especially ones who refuse to work with the community prior to moving in (which all art galleries close to the Sixth Street Bridge are guilty of). We read our demands, which state that all new art galleries must immediately leave Boyle Heights and that those buildings should be utilized by our community members the ways we best see fit, which may be converting them into emergency housing, shelters or centers for job training. As we left the building, we chanted “We don’t need more galleries; We need higher salaries!” That is to say, Boyle Heights is a low-income renter community. Get the fuck outta here with that argument that we need more art galleries. Boyle Heights has always been a cultural and artistic icon, with or without galleries. That is not a genuine and immediate need of the vast majority of community members.","A Conflict of Interest: Felicia “Fe” Montes and the Displacement of Wyvernwood Residents, Renewal of the 6th Street Viaduct Felicia “Fe” Montes is the fiance of Joel Garcia, director of programs and operations at Self-Help Graphics & Art. Felicia Montes is on the payroll of Urban Strategies as the director of community relations, the public relations firm that was hired by the Miami-based private investment firm, 15 Group, and more recently the developers of the 6th street bridge, to create a more inviting atmosphere for redevelopment, specifically in the proposed demolition of the Wyvernwood apartments.","Self Help Graphics & Art’s Board of Directors and leadership will be held to task and subjected to the utmost scrutiny due to their position in the community as leaders and their vested interests in gentrification projects. Rudy Espinoza, Interim Executive Director of Self Help Graphics and current Executive Director at Leadership for Urban Renewal Network (LURN) and Board of Director and Alfred Fraijo Jr. have both openly expressed support for redevelopment and “urban renewal” in a community fighting gentrification. Self Help Graphics Has Never, to Our Knowledge, Publicly Acknowledged Its Direct Displacement of Local Jobs And although SHG has been in the Eastside community for 40 years, it only recently relocated to Boyle Heights in 2011 where it displaced a fish factory where residents of the immediate working class community were employed. SHG also has a unique position of being located in a heated community battle zone against gentrification given the fastly developing “ Arts District” across the river which poses a direct threat to Boyle Heights. SHG leadership must be self critical of their role in the current political landscape as well as provide authentically open communication and support to community movements fighting gentrification. We call for a moratorium on SHG’s work with outside artists and galleries that pose a threat of gentrification by any means. Unfortunately, SHG has more than once chosen the side of redevelopment, prioritizing art and artists over people’s livelihoods, as hopefully made clear in this statement.",
PSSST,"1329 E 3rd St, Los Angeles, CA 90033",Barnett Cohen / Jules Gimbrone,THIRD STREET HOLDINGS LLC,975000,5499,4716,605799,403865,1009664,34.045222,-118.225592,"One of the red flags about PSSST was the deep contradiction between the language used to promote the space, and the actual impact that such a space can have on the housing market and on the life of a very low-income community living in constant resistance against displacement; a community which is consistently ignored every time someone plans ""improvements"" for them, or desires to impose cultural ""relevance"".","The ""PSSST Gallery"" was purchased in 2014 by an undisclosed investor who dropped over a million dollars into the purchase and architectural renovation of the former warehouse building.","The ""PSSST Gallery"" should be seen primarily for what it is: an investment vehicle, which should be seen only secondarily as a ""Cultural Institution"". The primary effects of the space, regardless of artistic programming, will be to drive up property values and directly contribute to raising rents in the surrounding residential neighborhoods",PSSST due to their ties with gentrifying real estate agents and real estate firms responsible for the displacement of working class families in Highland Park. (from accountability session),
Make Room LA,Formerly Sage Projects,,,,,,,,,,,,,,,
